id,category,title,summary,image_url,gif_url,youtube_id,tags,status
cav-corridor,"Emerging Tech","Connected & Automated Vehicle Corridor","Developing Kansas's first CAV testing corridor for real-world deployment. Assessing safety, mobility, and environmental impacts of connected infrastructure with KDOT.","","","g1vsh0y1W_I","CAV|KDOT|Connected Infrastructure",Active
cmv-crash-prediction,"Data-Driven","AI-Driven Crash Prediction for Commercial Vehicles","Using explainable machine learning to predict commercial motor vehicle crash severity and inform enforcement strategy. FMCSA high-priority research.","","","","AI|Machine Learning|CMV Safety|FMCSA",Active
arise-nsf,"Resilience","Adaptive & Resilient Infrastructures (ARISE)","$20M NSF EPSCoR Track-1 project modeling interdependence between transportation and critical infrastructure systems for social equity.","","","","NSF|Resilience|Equity|Infrastructure",Active
atma-kansas,"Emerging Tech","Autonomous Truck Mounted Attenuator (ATMA)","Exploring autonomous maintenance vehicle technology for Kansas highway work zones — evaluating cost-benefits under varying environmental conditions.","","","","Autonomous Vehicles|Work Zones|KDOT",Active
wireless-charging,"Emerging Tech","Wireless Dynamic Charging for EVs","Analyzing whether wireless-charging pavements can generate revenue to recover highway funds — a cost-benefit analysis for Kansas.","","","","EV|Wireless Charging|Electrification",Complete
golden-hour,"Data-Driven","Golden-Hour Identification for Rural Crashes","Mapping time-critical response zones in rural Kansas to improve emergency response and reduce fatality rates in remote areas.","","","","Rural Safety|Emergency Response|GIS",Complete
smart-signal,"Emerging Tech","Smart Cities: Connected Signal Control","Co-optimizing signal control and curbside utilization using connected vehicle data — a smart city approach for urban mobility.","","","","Smart Cities|Signal Control|Connected Vehicles",Complete
post-disaster,"Resilience","Post-Disaster Routing & Response Planning","Uncertainty-aware post-disaster routing using multi meta-heuristic optimization to enable rapid emergency response in damaged networks.","","","","Disaster Response|Optimization|Routing",Active
shared-mobility,"Emerging Tech","Automated Shared-Use Mobility Services","Integrating vehicle automation, connectivity, and electrification with shared-use mobility — modeling on-demand services for communities.","","","Qmj9iRXWOfc","Shared Mobility|Automation|Electrification",Active
big-data-mobility,"Data-Driven","Big Data Solutions for Mobility","Leveraging connected vehicle Big Data and urban analytics for mobility insights — developed at Oak Ridge National Laboratory.","","","8ibyTMZl2hE","Big Data|ORNL|Connected Vehicles|Urban Analytics",Complete
